,id,text,created_at,final fantasy,retweet_count,reply_count,like_count,quote_count,polarity
13171,1601098674695593985,I m probably most excited for  Judas from Ghost Story Ken LevineHorizon Forbidden West  Burning ShoresFinal Fantasy XVIArmored Core VI,2022-12-09T06:17:25.000Z,1.0,0,1,3,1,0.4375
13255,1601097812376109056,My highlightsJudasReplacedHades WayfinderFINAL FANTASY          Dune MMO   NIGHTINGALE   BG3 Release DateDiablo Blue Protocol MMOWH k Space Marine Armored Core Bill ClintonFlute GuyReally excited for Nightingale  amp  FF16,2022-12-09T06:14:00.000Z,1.0,0,1,2,0,0.1875
13344,1601096978590752770,Elden Ring  Best Role Playing Game Best Game Direction Best Art DirectionFinal Fantasy XIV   Best Ongoing Game,2022-12-09T06:10:41.000Z,1.0,0,0,0,0,0.4
13454,1601096014517407745,  TotK  May  Street Fighter  June  Diablo IV  June  Final Fantasy XVI  June  My wallet  amp  time ,2022-12-09T06:06:51.000Z,1.0,0,0,0,0,0.0
13457,1601095992719208448,I didn t watch all of   but here are my  must play  games  cue grabby hands 1  Diablo IV2  Horizon Forbidden West DLC3  Star Wars Jedi Survivor4  Final Fantasy XVI5  Judas6  Baldur s Gate And I ll be checking out that Forspoken Demo ,2022-12-09T06:06:46.000Z,1.0,0,1,1,0,0.0
13598,1601094593810173954,LIVE  Reacting to The Game Awards TrailersDeath Stranding Final Fantasy XVICyberpunk Hades Star Wars Jedi_ SurvivorTekken,2022-12-09T06:01:12.000Z,1.0,0,0,5,0,-0.08787878787878789
13599,1601094588407877633,I ve never played Final Fantasy before  but now I want to,2022-12-09T06:01:11.000Z,1.0,0,0,1,0,0.0
13712,1601093452447379456,Aesthetically speaking this is my favorite Final Fantasy protagonist  Manly AF ,2022-12-09T05:56:40.000Z,1.0,0,0,0,0,0.25
13743,1601092982211751936,Quick list of every major announcement from    Earthblade is very exciting    Final Fantasy still looks p cool  end,2022-12-09T05:54:48.000Z,1.0,0,0,1,0,0.22716666666666666
13779,1601092685397643265,Final Fantasy finally got a release date at TGA    ,2022-12-09T05:53:37.000Z,1.0,1,0,18,0,0.0
13867,1601091773274652674,Final Fantasy is coming on June     Watch the new trailer  titled Revenge  from  ,2022-12-09T05:50:00.000Z,1.0,39,5,213,10,0.06818181818181818
13891,1601091526670442496,Not the biggest final fantasy fan but that new trailer was siiick ,2022-12-09T05:49:01.000Z,1.0,0,1,0,0,0.06818181818181818
14198,1601088325657714694,Okay  Now That Are Over I m Looking Forward To Getting These GamesFinal Fantasy XVITekken Armored Core VIHades Wild HeartsStar Wars Jedi SurvivorAnd Fire Emblem Engage,2022-12-09T05:36:18.000Z,1.0,0,0,1,0,0.3
14531,1601085607086030848,AYOOOO FINAL FANTASY XVI RELEASE DATE  WE ALMOST THERE BOIS  catch me on twitch me on twitter,2022-12-09T05:25:30.000Z,1.0,0,0,0,0,0.0
